CCode,DATETIME_START_OUTPUTROW,DATETIME_END_OUTPUTROW,StateAbb,StateName,year,irst,milex,milper,pec,tpop,upop,cinc
700,1919-Aug-08 00:00:00,1920-Jan-01 00:00:00,AFG,Afghanistan,1919,-9,-9,-9,-9,1279,0,-9
771,1971-Dec-16 00:00:00,1972-Jan-01 00:00:00,BNG,Bangladesh,1971,-9,-9,-9,-9,10510,490,-9
140,1822-Sep-07 00:00:00,1823-Jan-01 00:00:00,BRA,Brazil,1822,-9,-9,-9,-9,2510,0,-9
140,1823-Jan-01 00:00:00,1824-Jan-01 00:00:00,BRA,Brazil,1823,-9,-9,-9,-9,2530,0,-9
140,1824-Jan-01 00:00:00,1825-Jan-01 00:00:00,BRA,Brazil,1824,-9,-9,-9,-9,2550,0,-9
140,1825-Jan-01 00:00:00,1826-Jan-01 00:00:00,BRA,Brazil,1825,-9,-9,-9,-9,2570,0,-9
240,1837-Jun-20 00:00:00,1838-Jan-01 00:00:00,HAN,Hanover,1837,-9,-9,-9,-9,3604,396,-9
600,1912-Jan-01 00:00:00,1912-Mar-31 00:00:00,MOR,Morocco,1912,-9,-9,-9,-9,8433,924,-9
95,1903-Nov-03 00:00:00,1904-Jan-01 00:00:00,PAN,Panama,1903,-9,-9,-9,-9,2500,228,-9
95,1904-Jan-01 00:00:00,1905-Jan-01 00:00:00,PAN,Panama,1904,-9,-9,-9,-9,2570,241,-9
95,1905-Jan-01 00:00:00,1906-Jan-01 00:00:00,PAN,Panama,1905,-9,-9,-9,-9,2641,254,-9
95,1906-Jan-01 00:00:00,1907-Jan-01 00:00:00,PAN,Panama,1906,-9,-9,-9,-9,2724,268,-9
95,1907-Jan-01 00:00:00,1908-Jan-01 00:00:00,PAN,Panama,1907,-9,-9,-9,-9,2969,284,-9
95,1908-Jan-01 00:00:00,1909-Jan-01 00:00:00,PAN,Panama,1908,-9,-9,-9,-9,2892,293,-9
95,1909-Jan-01 00:00:00,1910-Jan-01 00:00:00,PAN,Panama,1909,-9,-9,-9,-9,2981,302,-9
95,1910-Jan-01 00:00:00,1911-Jan-01 00:00:00,PAN,Panama,1910,-9,-9,-9,-9,3058,312,-9
95,1911-Jan-01 00:00:00,1912-Jan-01 00:00:00,PAN,Panama,1911,-9,-9,-9,-9,3159,322,-9
95,1912-Jan-01 00:00:00,1913-Jan-01 00:00:00,PAN,Panama,1912,-9,-9,-9,-9,3258,333,-9
95,1913-Jan-01 00:00:00,1914-Jan-01 00:00:00,PAN,Panama,1913,-9,-9,-9,-9,3347,343,-9
95,1914-Jan-01 00:00:00,1915-Jan-01 00:00:00,PAN,Panama,1914,-9,-9,-9,-9,3451,355,-9
95,1915-Jan-01 00:00:00,1916-Jan-01 00:00:00,PAN,Panama,1915,-9,-9,-9,-9,3546,368,-9
95,1916-Jan-01 00:00:00,1917-Jan-01 00:00:00,PAN,Panama,1916,-9,-9,-9,-9,3652,382,-9
95,1917-Jan-01 00:00:00,1918-Jan-01 00:00:00,PAN,Panama,1917,-9,-9,-9,-9,3964,414,-9
95,1918-Jan-01 00:00:00,1919-Jan-01 00:00:00,PAN,Panama,1918,-9,-9,-9,-9,4079,449,-9
95,1919-Jan-01 00:00:00,1920-Jan-01 00:00:00,PAN,Panama,1919,-9,-9,-9,-9,4197,487,-9
987,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,FSM,Federated States of Micronesia,1996,0,0,0,0,126,0,3.65E-06
987,1995-Jan-01 00:00:00,1996-Jan-01 00:00:00,FSM,Federated States of Micronesia,1995,0,0,0,-9,105,0,3.70E-06
